T,L,M,M0,mc,rm,rm2,rm4,error,mc*tau,c,time_of_save
2.32,10,2500,2000,5,0.7219520000000013,0.5652252799999995,0.3813570487039971,0.00441646493185282,0.2699530142940131,0.05122493759655981,2024-03-26 19:01:42.105957
2.31,10,2500,2000,5,0.7117440000000015,0.559705279999998,0.3840431187199985,0.004938569424330422,0.3693082066137058,0.0687813387502707,2024-03-26 19:01:48.945530
2.3,10,2500,2000,5,0.7187680000000024,0.5644070399999985,0.38553194495999726,0.004642321187461363,0.3190829645474971,0.05998834135023536,2024-03-26 19:01:55.815662
2.29,10,2500,2000,5,0.736496000000003,0.591707839999996,0.4191081847039969,0.004716798440139223,0.3215704242780858,0.06042773065841921,2024-03-26 19:02:02.862944
2.28,10,2500,2000,5,0.7354080000000045,0.587348479999998,0.41154534579199836,0.00456824851413854,0.3035388664454217,0.057233268971753924,2024-03-26 19:02:09.976150
2.27,10,2500,2000,5,0.7560240000000024,0.612047519999996,0.4360848551039963,0.004214021102338043,0.24210505199607174,0.04618470053435571,2024-03-26 19:02:16.872015
2.26,10,2500,2000,5,0.7500480000000049,0.6065689599999967,0.4318562091519969,0.004414164184114729,0.2679251112880703,0.05085970389251783,2024-03-26 19:02:24.185506
2.25,10,2500,2000,5,0.7710560000000056,0.6304559999999964,0.45341419123199583,0.003937362984351582,0.19680837692839498,0.03787100902202589,2024-03-26 19:02:31.130521
2.24,10,2500,2000,5,0.7594320000000042,0.6198359999999953,0.4481133951359964,0.004365103228167206,0.2631310570713459,0.04999515577667648,2024-03-26 19:02:38.210543
2.23,10,2500,2000,5,0.7872800000000058,0.6550713599999939,0.48495170534399296,0.0038964899992219894,0.19107379699179053,0.03680814499353046,2024-03-26 19:02:45.303501
2.22,10,2500,2000,5,0.789968000000006,0.6557401599999941,0.4832985157119939,0.00367731295670136,0.16691460040935147,0.03230450149033382,2024-03-26 19:02:52.171331
2.21,10,2500,2000,5,0.8017680000000064,0.674831839999994,0.5084426380159912,0.0036950057725196966,0.16662192902079315,0.03224968486369821,2024-03-26 19:02:59.203911
2.2,10,2500,2000,5,0.8094560000000075,0.6839366399999923,0.5169209740799915,0.0034836078887343232,0.14113160428401242,0.02745146694288277,2024-03-26 19:03:05.850256
2.19,10,2500,2000,5,0.8211120000000074,0.6996103999999932,0.5345681651839898,0.003260524290761626,0.11739614617765277,0.022940601591952135,2024-03-26 19:03:12.830284
2.18,10,2500,2000,5,0.8276640000000114,0.7100655999999909,0.5489701953279883,0.0032372698601369175,0.11601283657624803,0.022676416240950337,2024-03-26 19:03:19.592128
2.17,10,2500,2000,5,0.8436560000000114,0.7309748799999912,0.5720682785919856,0.0028169178936840894,0.08040460455668905,0.01582641754252663,2024-03-26 19:03:26.296218
2.16,10,2500,2000,5,0.8470800000000132,0.7377761599999891,0.5823101317759866,0.00289415947549638,0.08758117214618334,0.017214697747856757,2024-03-26 19:03:34.870926
2.15,10,2500,2000,5,0.8424320000000118,0.7291990399999899,0.5700254954239887,0.002837533419811618,0.07966534478373352,0.015683187646513212,2024-03-26 19:03:41.789057
2.14,10,2500,2000,5,0.852272000000013,0.7455609599999873,0.5935562188799858,0.0028149878199280787,0.08036527057119923,0.015818797722425094,2024-03-26 19:03:49.127514
2.13,10,2500,2000,5,0.8564560000000138,0.7510343999999886,0.5991627016319845,0.002684073776655977,0.07037383581767029,0.01387941759255341,2024-03-26 19:03:56.378146
2.12,10,2500,2000,5,0.8612640000000158,0.7585071999999876,0.6093093026559862,0.002621382484648485,0.06687870579898814,0.013199192181657354,2024-03-26 19:04:03.042943
2.11,10,2500,2000,5,0.8677680000000147,0.7696270399999846,0.6253126113919837,0.002610250116192696,0.06440183390496076,0.012716572660922337,2024-03-26 19:04:10.019872
2.1,10,2500,2000,5,0.8774000000000185,0.7818199999999823,0.6391778579839826,0.0022055286175906037,0.03579276242253236,0.007107671842578722,2024-03-26 19:04:16.747802
2.09,10,2500,2000,5,0.8715600000000173,0.7767937599999828,0.6363480407679831,0.0026588610956751234,0.07232513601583017,0.014258773654371759,2024-03-26 19:04:23.575251
2.08,10,2500,2000,5,0.8726960000000172,0.7785150399999827,0.639983253183983,0.0026365822437975756,0.06830267929199123,0.013476440460247466,2024-03-26 19:04:30.452307
2.07,10,2500,2000,5,0.8865280000000186,0.7999983999999818,0.6681253791999816,0.0023971535271384973,0.053203933943942246,0.010528752577459792,2024-03-26 19:04:37.385316
2.06,10,2500,2000,5,0.8896800000000183,0.8032620799999817,0.6707060510719808,0.002182959218619702,0.03872023474566928,0.007684537529721313,2024-03-26 19:04:44.302398
2.05,10,2500,2000,5,0.8967920000000191,0.8118539199999805,0.67913895596798,0.0017523584658563403,0.019319875337954488,0.003849102232531786,2024-03-26 19:04:51.357051
2.04,10,2500,2000,5,0.8947600000000199,0.81192143999998,0.6843386670719807,0.0021443016755390504,0.037323868116586535,0.007409463654466518,2024-03-26 19:04:58.135940
2.03,10,2500,2000,5,0.9066240000000213,0.8295065599999781,0.7075104389119785,0.001742885733691209,0.01811930623986008,0.003610776295679009,2024-03-26 19:05:05.106991
2.02,10,2500,2000,5,0.90035200000002,0.8207027199999791,0.6961008808959798,0.0020203218543748086,0.0335820202255888,0.0066715949180229635,2024-03-26 19:05:11.955173
2.01,10,2500,2000,5,0.911048000000022,0.8363118399999794,0.716796018495979,0.001592655285907085,0.015069471917179195,0.0030048381187067347,2024-03-26 19:05:18.726927
2.0,10,1500,1000,1,0.916800000000011,0.8471434666666621,0.7353665745066615,0.002114277515712734,0.006345308638516779,0.006305299566707713,2024-03-26 19:05:19.924357
2.0,10,1500,1000,1,0.9152800000000122,0.8428959999999935,0.7257333951999965,0.0018629130100231137,0.004569693417501532,0.004548906310278621,2024-03-26 19:05:21.077265
1.9,10,100,100,1,0.944,0.8934640000000001,0.8061236895999997,0.00483447070851764,0.001978243803970305,0.001974338081892858,2024-03-26 19:05:21.192059
1.8,10,100,100,1,0.9657999999999997,0.9336039999999993,0.87464116,0.002886890819489807,-0.0005669852549145595,-0.0005673069095672953,2024-03-26 19:05:21.320123
1.7,10,100,100,1,0.9739999999999993,0.9494479999999998,0.9042862495999999,0.0027791326861002956,0.0002317672887873066,0.00023171358515789933,2024-03-26 19:05:21.433483
1.6,10,100,100,1,0.9829999999999999,0.9668279999999996,0.9367514544000002,0.0023209050743551755,-0.00031536510490261206,-0.00031546459142658034,2024-03-26 19:05:21.553124
1.5,10,100,100,1,0.9834000000000002,0.967571999999999,0.9380365200000003,0.00222870238238574,0.00027337737337638677,0.00027330265861343826,2024-03-26 19:05:21.661209
1.4,10,100,100,1,0.9919999999999998,0.9842319999999996,0.9693603232000004,0.0012964958514133551,0.0002683014081756927,0.0002682294418387332,2024-03-26 19:05:21.770389
1.3,10,100,100,1,0.9956,0.9913199999999995,0.9831054048000003,0.0010032481682982195,5.31037358070623e-05,5.310091595005058e-05,2024-03-26 19:05:21.888261
1.2,10,100,100,1,0.9974000000000001,0.9948599999999996,0.9899539632000001,0.0007296788996033695,2.939193396041392e-05,2.9391070100022514e-05,2024-03-26 19:05:22.000746
1.1,10,100,100,1,0.9987999999999999,0.9976239999999998,0.9953420895999998,0.0004749749023116975,2.5661036316609657e-06,2.566097046790015e-06,2024-03-26 19:05:22.122719
1.0,10,100,100,1,0.9986,0.9972279999999998,0.9945657712,0.0005103974297529857,0.0002026426673985645,0.00020260161166755694,2024-03-26 19:05:22.236223
0.9,10,100,100,1,0.9996,0.9992079999999999,0.9984473632,0.00027999995516019303,-1.6012679471691175e-07,-1.6012682035750624e-07,2024-03-26 19:05:22.361137
0.8,10,100,100,1,1.0,1.0,1.0,0.0,0.0,0.0,2024-03-26 19:05:22.474292
0.7,10,100,100,1,1.0,1.0,1.0,0.0,0.0,0.0,2024-03-26 19:05:22.659248
0.6,10,100,100,1,1.0,1.0,1.0,0.0,0.0,0.0,2024-03-26 19:05:22.855137
0.5,10,100,100,1,1.0,1.0,1.0,0.0,0.0,0.0,2024-03-26 19:05:23.013174
0.4,10,100,100,1,1.0,1.0,1.0,0.0,0.0,0.0,2024-03-26 19:05:23.123147
0.3,10,100,100,1,1.0,1.0,1.0,0.0,0.0,0.0,2024-03-26 19:05:23.240290
0.2,10,100,100,1,1.0,1.0,1.0,0.0,0.0,0.0,2024-03-26 19:05:23.357734
0.1,10,100,100,1,1.0,1.0,1.0,0.0,0.0,0.0,2024-03-26 19:05:23.469216
