T, L, M, M0, mc, rm, rm2, error, mc*tau, c, time_of_save
1,50,100,20,10,9.610160000000004e-55,1.7393269656560762e-57,nan,nan,inf,2024-03-16 12:03:01.011166
2,50,100,20,10,0.6339280000000002,0.0758929676159999,0.15315275588208466,149.53188464679587,0.9373166058801347,2024-03-16 12:03:42.062482
2,50,100,20,10,0.006339280000000002,0.000718743205241599,nan,-10.834366707988124,12.985137834792816,2024-03-16 19:49:26.946161
2,50,100,20,10,6.339280000000002e-05,7.183413405324149e-06,nan,-10.000553233329475,18076.55594943746,2024-03-16 19:49:30.107479
